,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
1442,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,31000,20211027,50110,13700
1443,기타,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-12,제주특별자치도 제주시 애월읍 신엄리,647996001.0,3,16600,20211028,50110,25326
1444,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211028,50110,13700
1445,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,3,39000,20211028,50110,13700
1446,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,4,36000,20211031,50110,13700
1447,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211001,50110,13700
1448,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20211003,50110,13700
1449,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211004,50110,13700
1450,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20211005,50110,13700
1451,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,9000,20211006,50110,13700
1452,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,9000,20211006,50110,13700
1453,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211009,50110,13700
