"콘텐츠명","노키즈존","예약가능여부","룸보유여부","유아서비스기타","평일오픈시간","평일클로즈시간","주말오픈시간","주말클로즈시간","휴식시작시간","휴식종료시간","대표메뉴기타"
"양가형제","","","","","11:00","19:30","11:00","19:30","","",""
"시스터필드","","","","","09:00","18:00","09:00","18:00","","",""
"섭지코지화덕피자","","","","","11:00","21:00","11:00","21:00","","",""
"까떼커피","","","","","09:00","21:00","09:00","21:00","","",""
"비양도 올레카페","","","","","09:00","15:00","","","","",""
"화로향","","y","","","12:00","23:00","12:00","03:00","","",""
"건달다방","","","","","10:30","22:00","10:30","22:00","","",""
"화진전복","","","","","08:00","22:00","08:00","22:00","","",""
"이찌방","","","","","11:00","24:00","11:00","24:00","","",""
"신산리마을카페","","","","","09:00","19:00","09:00","19:00","","",""
"와팡","","","","","","","","","","",""
"제주진미마돈가","","","","","11:00","22:00","11:00","22:00","","",""
"붉은제주","","","","","11:20","20:30","11:20","20:30","","",""
"그때그맛","","","","","06:00","18:00","","","","",""
"수제홍과일모찌","","","","","10:00","20:00","10:00","20:00","","",""
"메밀꽃차롱","","","","","11:00","15:00","11:00","15:00","","",""
"나까무라","","","","","11:30","23:00","11:30","23:00","","",""
"빌라드아토","","","","","10:00","22:00","10:00","22:00","","",""
"김희선몸국","","","","","07:00","16:00","07:00","15:00","","",""
"쪼끌락","","y","","","10:30","18:30","11:00","18:30","","",""
"짜이다방","","","","","11:00","21:00","11:00","21:30","","",""
"누리해장국","","y","","","05:30","20:00","05:30","20:00","","",""
"델리지아레스토랑","","","","","11:00","15:30","11:30","15:00","","",""
"섬채","","","","","11:00","21:30","11:00","21:30","","",""
"은혜전복","","","","","10:00","20:00","10:00","20:00","","",""
"커피구십구점구(99.9)","","","","","10:00","23:00","10:00","23:00","","",""
"사계바다","","y","","","08:30","22:00","08:30","22:00","","",""
"오끼416갤러리","","","","","10:00","19:30","10:00","19:30","","",""
"제주반지만들기카페","","","","","10:00","22:00","10:00","22:00","","",""
"천하대장군","","","","","10:30","19:30","10:30","19:30","","",""
"오가네전복설렁탕","","","","","08:00","20:00","08:00","20:00","","",""
"서연의집(영화 건축학개론)","","","","","10:00","19:00","10:00","19:00","","",""
"넉둥베기 고사리육개장","","","","","10:00","21:00","10:00","21:00","","",""
"파리바게뜨 성산일출봉점","","","","","07:00","23:00","07:00","23:00","","",""
"타임스탬프","","","","","10:00","21:00","10:00","21:00","","",""
"선우식당","","","","","11:30","21:00","11:30","21:00","","",""
