"여행일정ID","언어코드","제목","조회수","공유수","여행시작일","여행종료일","인원","여행기간","태그","등록일시","수정일시","추천일정등록여부","공개여부","댓글수","댓글수_1","북마크수","사용여부","SNS공유수","인기점수"
"15715","kr","4박5일 제주 자유여행",1,0,21/04/07,21/04/07,2,1,"커플,휴식과 치유 여행,먹거리",21/03/29,21/03/30,"n","n",0,0,0,"y",0,2
"15733","kr","제주 3박 4일 여행",1,0,21/08/08,21/08/11,4,4,"아이,레저와 체험,식도락",21/03/30,21/03/30,"n","n",0,0,0,"y",0,2
"15748","kr","여행일정",3,0,21/04/04,21/04/06,3,3,"부모,휴식과 치유 여행,식도락",21/03/31,21/04/04,"n","n",0,0,0,"y",0,6
"15794","kr","꽉 찬 주말, 1박 2일 혼행 ",1,0,21/05/15,21/05/16,4,2,"주말여행,휴식과 치유 여행,걷기/등산,아이",21/04/06,21/04/06,"n","n",0,0,0,"y",0,2
"15831","kr","제주 7일 여행",0,0,21/04/24,21/04/30,3,7,"부모,휴식과 치유 여행,입대전에",21/04/10,21/04/10,"n","n",0,0,0,"y",0,
"15834","kr","아이들을 위한 여행",0,0,21/05/04,21/05/08,4,5,"아이,레저와 체험,하루에하나",21/04/10,21/04/10,"n","n",0,0,0,"y",0,
"15860","kr","가족여행",1,0,21/05/22,21/05/25,3,4,"휴식과 치유 여행,아이,결혼기념일",21/04/12,21/04/13,"n","n",0,0,0,"y",0,2
"15869","kr","3박 4일 제주 여행",0,0,21/04/16,21/04/19,2,4,"커플,휴식과 치유 여행,전시",21/04/13,21/04/13,"n","y",0,0,0,"y",0,
"15912","kr","엄마",2,0,21/05/11,21/05/13,4,3,"친구,휴식과 치유 여행,친구",21/04/16,21/04/16,"n","n",0,0,0,"y",0,4
"15915","kr","4박 5일",1,0,21/06/21,21/06/25,2,5,"친구,휴식과 치유 여행,자매,동쪽",21/04/16,21/04/16,"n","n",0,0,0,"y",0,2
"15919","kr","ㄷㄷㄷㄷ",1,0,21/04/17,21/04/19,1,3,"식도락 여행,ㄷㄷㄷ,아이",21/04/17,21/04/17,"n","n",0,0,0,"y",0,2
"15923","kr","2박3일 제주여행",1,0,21/06/15,21/06/17,4,3,"친구,휴식과 치유 여행,3",21/04/18,21/04/18,"n","n",0,0,0,"y",0,2
"15942","kr","예스리와 2박3일",1,0,21/04/25,21/04/27,2,3,"커플,휴식과 치유 여행,드라이브",21/04/20,21/04/22,"n","n",0,0,0,"y",0,2
"15965","kr","소은이 5살 제주도 여행",1,0,21/06/04,21/06/07,3,4,"아이,레저와 체험,휴식",21/04/22,21/04/22,"n","n",0,0,0,"y",0,2
"15966","kr","소은이 5살 제주도 여행",1,0,21/06/04,21/06/07,4,4,"아이,휴식과 치유 여행,체험",21/04/22,21/04/26,"n","n",0,0,0,"y",0,2
"16024","kr","2주 힐링!!!",1,0,21/05/11,21/05/25,2,15,"친구,휴식과 치유 여행,친구,여행,휴식",21/04/28,21/05/04,"n","y",0,0,0,"y",0,2
"16049","kr","ㄴㅁㅇㄹㄴㅇㅁㄹ",1,0,21/05/05,21/05/13,1,9,"커플,레저와 체험,ㄴㅁㅇㄹㄴ,ㄴㅇㅁㄻㄴㅇㄹ",21/05/01,21/05/03,"n","n",0,0,0,"n",0,2
"16071","en","TRAVEL TO JEJU",0,0,21/08/01,21/08/08,1,8,"Solo,Leisure / Experience Program,HIKING,FOOD",21/05/02,21/05/02,"n","y",0,0,0,"y",0,
"16088","kr","제주 동쪽 구석구석 마을여행",1,0,21/05/22,21/05/25,3,4,"친구,제주의 문화유산,마을,오름",21/05/03,21/05/04,"n","y",0,0,0,"n",0,2
"16089","en","Short but sweet",1,0,21/05/23,21/05/25,4,3,"Parents,Exhibition/Event,Gallery/Museum,Rest/Healing",21/05/03,21/05/04,"n","y",0,0,0,"n",0,2
"16113","en","5 days & 4 nights Jeju Trip",0,0,21/05/15,21/05/19,2,5,"Friends,Healing,Explore",21/05/05,21/05/05,"n","n",0,0,0,"y",0,
"16156","kr","지선재명 신혼여행",2,0,21/05/22,21/05/26,2,5,"커플,휴식과 치유 여행,신혼여행",21/05/10,21/05/10,"n","n",0,0,0,"y",0,4
"16176","kr","금발",1,0,21/05/12,21/05/12,4,1,"친구,전시와 행사,맛집,사진",21/05/12,21/05/12,"n","n",0,0,0,"y",0,2
"16177","kr","바다 보이는 맛집과 카페 골라가기",1,0,21/05/22,21/05/24,2,3,"커플,식도락 여행,먹방투어,맛집,카페",21/05/12,21/05/12,"n","y",0,0,0,"y",0,2
"16198","en","2Day 1Night Jeju Trip",2,0,21/05/29,21/05/30,4,2,"Parents,Healing,Jeju",21/05/13,21/11/19,"n","n",0,0,0,"y",0,4
