장소ID,장소명,도로명주소,장소상세설명,위도,경도,등록일시,수정일시,지번주소,사용여부
4764,보룡제과,제주특별자치도 서귀포시 일출로15번길 13,제과,33.4479298,126.913249,2022-01-07,2022-01-07,제주특별자치도 서귀포시 성산읍 고성리 1097-1,y
4762,카페두갓,제주특별자치도 제주시 옹포2길 30,카페,33.4656899,126.4500435,2022-01-07,2022-01-07,제주특별자치도 제주시 노형동 2321,y
4765,오지힐,,카페,33.3614644,126.1919866,2022-01-07,2022-01-07,제주특별자치도 제주시 한경면 금등리 724-8,y
4766,한림정육식당,제주특별자치도 제주시 한수풀로 8,흑돼지,33.4175624,126.2637681,2022-01-07,2022-01-07,제주특별자치도 제주시 한림읍 한림리 1314-24,y
4767,산노루 제주점,제주특별자치도 제주시 한수풀로 8,녹차 카페,33.3309202,126.2127577,2022-01-07,2022-01-07,제주특별자치도 제주시 한경면 조수리 2087-1,y
4475,둘째날 여행 후 숙박지,제주특별자치도 제주시 연삼로 64 제주세기아파트,2일 차 여행 후 숙박지,33.4232898,126.917744,2021-09-03,2021-09-03,제주특별자치도 서귀포시 성산읍 온평리,y
4476,3일차 여행 종료 및 숙박지,제주특별자치도 제주시 연삼로 64 제주세기아파트,3일차 여행 및 숙박지,33.530964,126.6616252,2021-09-03,2021-09-03,제주특별자치도 제주시 조천읍 함덕리 1708,y
4483,제주 힐링돼지,,제주 서귀포시 강정동 5009-3,33.2269216,126.4717038,2021-09-08,2021-09-08,제주특별자치도 서귀포시 대천동 5008,y
4508,곶자왈,제주특별자치도 서귀포시 안덕면 신화역사로 15 오설록,곶자왈,33.282948,126.2618048,2021-09-12,2021-09-12,제주특별자치도 서귀포시 대정읍 신평리 산14,y
4487,드르쿰다 in성산,제주특별자치도 서귀포시 고성동서로56번길 11-1 동남제분떡방아기름집,테마카페,33.4426998,126.920054,2021-09-09,2021-09-09,제주특별자치도 서귀포시 성산읍 고성리 440,y
4507,오설록,제주특별자치도 서귀포시 안덕면 신화역사로 15 오설록,오설록,33.3053532,126.2897502,2021-09-12,2021-09-12,제주특별자치도 서귀포시 안덕면 서광리 1235-1,y
