콘텐츠명,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,난이도,장애인주차구역,장애인엘레베이터,장애인화장실,장애인화장실유효공간,장애인관람석및열람석,영유아돌봄시설,안내소접근가능여부,기타시설
성불오름,,,,,,,,,,,,,,,
마방목지,,,,,,,,,,,,,,,
보롬이 오름,,,,,,,,,,,,,,,
제주컨트리클럽,,,,,,,,,,,,,,,
명월성지,,,,,,,,,,,,,,,
평화통일 불사리탑,,,,,,,,,,,,,,,
둔지봉,,,,,,,,,,,,,,,
한라수목원,9:00,18:00,9:00,18:00,,,2,y,y,y,y,n,n,y,"휠체어, 유모차"
세인트포골프장,,,,,,,,,,,,,,,
"더럭초등학교(구, 더럭분교)",18:00,,9:00,,,,,,,,,,,,
월대천,,,,,,,,,,,,,,,
중엄리새물,,,,,,,,,,,,,,,
용두암,0:00,0:00,0:00,0:00,,,3,y,n,y,y,n,n,n,-
차귀도 자구내포구,,,,,,,,,,,,,,,
"안세미 (명도오름,明道岳)",,,,,,,,,,,,,,,
보물섬하이킹,8:00,18:00,8:00,18:00,,,,,,,,,,,
부소악 (부소오름),,,,,,,,,,,,,,,
방선문,,,,,,,,,,,,,,,
법환포구,,,,,,,,,,,,,,,
월산봉,,,,,,,,,,,,,,,
이중섭거주지,,,,,,,,,,,,,,,
일출랜드,8:30,18:00,8:30,18:00,,,2,y,n,y,y,,y,y,"휠체어, 유모차"
"웃밤(웃바매기,웃밤오름)",,,,,,,,,,,,,,,
곤물,,,,,,,,,,,,,,,
한담해변,,,,,,,,,,,,,,,
마오름(한경),,,,,,,,,,,,,,,
유건에오름,,,,,,,,,,,,,,,
성읍승마장,9:00,18:00,9:00,18:00,,,,,,,,,,,
위미리 동백나무군락,,,,,,,,,,,,,,,
토끼섬,,,,,,,,,,,,,,,
엉또폭포,,,,,,,,,,,,,,,
알작지해변,,,,,,,,,,,,,,,
온평리 포구,,,,,,,,,,,,,,,
웃세오름(누운오름),,,,,,,,,,,,,,,
제지기오름,,,,,,,,,,,,,,,
가파초등학교 마라분교장,,,,,,,,,,,,,,,
성산항,,,,,,,,,,,,,,,
민오름(구좌읍),,,,,,,,,,,,,,,
선운정사,,,,,,,,,,,,,,,
수산저수지,,,,,,,,,,,,,,,
북오름 (鼓岳),,,,,,,,,,,,,,,
지그리오름 (큰지그리),,,,,,,,,,,,,,,
와흘본향당,,,,,,,,,,,,,,,
밝은오름 (명월오름),,,,,,,,,,,,,,,
제주동백수목원,9:30,17:00,9:30,17:00,,,,,,,,,,,
걸매생태공원,0:00,0:00,0:00,0:00,,,,,,,,,,,
제주교육박물관,9:00,18:00,9:00,18:00,,,1,y,y,y,y,n,n,y,"휠체어, 유모차"
독자봉,,,,,,,,,,,,,,,
간세공방,13:00,17:00,13:00,17:00,,,,,,,,,,,
돌미오름,,,,,,,,,,,,,,,
추자연도교,,,,,,,,,,,,,,,
동백동산,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주목관아,9:00,18:00,9:00,18:00,,,1,y,n,y,y,n,n,y,휠체어
야무치 코퍼레이션,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
1.11111E+21,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
1.11111E+21,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
234,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
드라마월드,9:00,18:00,9:00,18:00,,,,,,,,,,,
제주 삼양동 유적,9:00,18:00,9:00,18:00,,,1,y,,y,y,,n,y,"휠체어, "
동검은이오름(거미오름),,,,,,,,,,,,,,,
다랑쉬오름(월랑봉),,,,,,,,,,,,,,,
아라리오뮤지엄동문모텔1,10:00,19:00,10:00,19:00,,,,,,,,,,,
장생의 숲길,,,,,,,,,,,,,,,
종달리전망대,,,,,,,,,,,,,,,
우도(해양도립공원),0:00,0:00,0:00,0:00,,,3,y,n,y,n,,n,y,
수월봉,0:00,0:00,0:00,0:00,,,3,n,,y,y,,n,,
"군산(군산오름,코메오름)",,,,,,,1,,,,,,,,
절부암,,,,,,,,,,,,,,,
금능포구,,,,,,,,,,,,,,,
산양곶자왈,9:00,17:00,9:00,17:00,,,,,,,,,,,
당오름(한경면),,,,,,,,,,,,,,,
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
야무치,0:00,0:00,0:00,0:00,0:00,0:00,,,,,,,,,
기독교순례길 4코스(화해의길),,,,,,,,,,,,,,,
용눈이오름,,,,,,,,,,,,,,,
용담레포츠공원,,,,,,,,,,,,,,,
제주추사관,9:00,18:00,9:00,18:00,,,1,y,y,y,y,n,n,y,"휠체어, 유모차"
제주종합경기장,6:00,22:00,6:00,22:00,,,,,,,,,,,
제주항일기념관,9:00,18:00,9:00,18:00,,,2,y,n,y,n,n,n,y,점자책
함덕백사장 & 서우봉,,,,,,,,,,,,,,,
황우럭만화천국사회적협동조합,,,,,,,,,,,,,,,
탑동,,,,,,,,,,,,,,,
김녕해수욕장,,,,,,,,,,,,,,,
월평포구,,,,,,,,,,,,,,,
금덕무환자나무및팽나무군락,,,,,,,,,,,,,,,
월정리해안도로,,,,,,,,,,,,,,,
제주 더팔팔농장,6:30,19:00,6:30,19:00,,,,,,,,,,,
대천이오름,,,,,,,,,,,,,,,
비치미오름,,,,,,,,,,,,,,,
왈종미술관,9:30,18:30,9:30,18:30,,,,,,,,,,,
문섬(서귀포해양도립공원),,,,,,,,,,,,,,,
이레다원캠핑장,16:00,10:00,,,,,,,,,,,,,
제주국제공항,,,,,,,,,,,,,,,
마복이오름,,,,,,,,,,,,,,,
우도부릉부릉레져,,,,,,,,,,,,,,,
애월연대,,,,,,,,,,,,,,,
"골머리 (洞山, 笏頭岳, 아흔아홉골)",,,,,,,,,,,,,,,
중문컨트리클럽,,,,,,,,,,,,,,,
남두연대,,,,,,,,,,,,,,,
"천아오름(낭오름,天娥岳)",,,,,,,,,,,,,,,
더마카트,9:00,18:00,9:00,18:00,,,,,,,,,,,
한라승마장,9:00,17:00,9:00,17:00,,,,,,,,,,,
중문관광단지,,,,,,,,,,,,,,,
서귀포층패류화석산지,,,,,,,,,,,,,,,
김만덕기념관,9:00,17:00,9:00,17:00,,,1,y,n,y,y,n,n,y,"휠체어, 유모차"
"물메 (물미, 수산봉)",,,,,,,,,,,,,,,
밝은오름,,,,,,,,,,,,,,,
낙천리아홉굿의자마을,9:00,17:00,9:00,17:00,,,,,,,,,,,
신비의도로카트체험장,9:00,18:00,9:00,18:00,,,,,,,,,,,
지그리오름,,,,,,,,,,,,,,,
서귀다원,9:00,17:00,9:00,17:00,,,,,,,,,,,
김영수도서관,17:00,21:00,10:00,18:00,,,,,,,,,,,
애월환해장성,,,,,,,,,,,,,,,
로봇스퀘어[운영중단],10:00,18:30,10:00,18:30,,,,,,,,,,,
테우마을 수원리 농어촌체험마을,,,,,,,,,,,,,,,
용담/용두암 해안도로,,,,,,,,,,,,,,,
제주워터월드,9:00,20:00,9:00,20:00,,,,,,,,,,,
외돌개,,,,,,,,,,,,,,,
교래자연휴양림,,,,,,,,y,,y,y,,,,휠체어
"미악산 (오름, 쌀오름, 솔오름)",,,,,,,,,,,,,,,
갯깍주상절리,,,,,,,,,,,,,,,
밧돌오름,,,,,,,,,,,,,,,
북오름,,,,,,,,,,,,,,,
브릭캠퍼스,10:00,18:00,10:00,18:00,,,,,,,,,,,
초원승마장,9:30,18:30,9:30,18:30,,,,,,,,,,,
초콜릿랜드,10:00,18:00,10:00,18:00,,,,,,,,,,,
"알밤(알바매기, 알밤오름)",,,,,,,,,,,,,,,
성산·오조 지질트레일,,,,,,,,,,,,,,,
답다니탑망대,,,,,,,,,,,,,,,
