LG_CAT,MD_CAT,SM_CAT,FUEL_TYPE,FUEL_COST,SCALE,FACTOR
자동차,BMW,5시리즈 530e M 스포츠 패키지(2020),Gasoline/Hybrid,16.7,kgCO2/km,0.131621078
자동차,BMW,5시리즈 M550d x드라이브(2019),Diesel,10.6,kgCO2/km,0.250354687
자동차,BMW,5시리즈 530d 럭셔리 라인 플러스(2019),Diesel,12.6,kgCO2/km,0.210615848
자동차,BMW,5시리즈 530d M 스포츠 패키지 플러스(2019),Diesel,12.6,kgCO2/km,0.210615848
자동차,BMW,5시리즈 520d 럭셔리 라인 플러스(2019),Diesel,13.4,kgCO2/km,0.198041767
자동차,BMW,5시리즈 520d M 스포츠 패키지 플러스(2019),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,5시리즈 520d x드라이브 럭셔리 라인 플러스(2019),Diesel,13.9,kgCO2/km,0.190917963
자동차,BMW,5시리즈 520d x드라이브 M 스포츠 패키지 플러스(2019),Diesel,13.9,kgCO2/km,0.190917963
자동차,BMW,5시리즈 540i x드라이브 럭셔리 라인 플러스(2019),Gasoline,10.2,kgCO2/km,0.215497255
자동차,BMW,5시리즈 540i x드라이브 M 스포츠 패키지 플러스(2019),Gasoline,10.2,kgCO2/km,0.215497255
자동차,BMW,5시리즈 530i x드라이브 럭셔리 라인 플러스(2019),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,5시리즈 530i x드라이브 M 스포츠 패키지 플러스(2019),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,5시리즈 520i 럭셔리 라인(2019),Gasoline,10.9,kgCO2/km,0.201657982
자동차,BMW,5시리즈 530i 럭셔리 라인 플러스(2019),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,5시리즈 530i M 스포츠 패키지 플러스(2019),Gasoline,11.2,kgCO2/km,0.196256429
자동차,BMW,6시리즈 630d x드라이브 GT 럭셔리 라인(2022),Diesel,13.1,kgCO2/km,0.202577075
자동차,BMW,6시리즈 630d x드라이브 GT M 스포츠 패키지(2022),Diesel,13.1,kgCO2/km,0.202577075
자동차,BMW,6시리즈 620d x드라이브 GT 럭셔리 라인(2022),Diesel,13.2,kgCO2/km,0.2010424
자동차,BMW,6시리즈 620d x드라이브 GT M 스포츠 패키지(2022),Diesel,13.2,kgCO2/km,0.2010424
자동차,BMW,6시리즈 620d GT M 스포츠 패키지(2022),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,6시리즈 620d GT 럭셔리 라인(2022),Diesel,13.5,kgCO2/km,0.196574791
