,Unnamed: 0.1,Unnamed: 0,MCT_NM,naver_keyword,naver_map_url,menu_list
217,217,217,궁중오메기떡,제주도%20궁중오메기떡,https://m.place.naver.com/restaurant/1510573611/menu/list,"오메기떡 (팥) 한되(50알), 크림오메기떡 한되(50알), 오메기떡 (팥) 반되(25)알, 오메기떡 (견과류) 한되(50알), 오메기떡 (견과류) 반되(25알), 오메기떡 (콩가루) 한되(50알), 오메기떡 (콩가루) 반되(25알), 오메기떡 (반반) 한되 (50알), 오메기떡 (반반) 반되 (25알), 오메기떡 (모듬) 한되(50알), 오메기떡 (모듬) 반되(25알), 전국 택배 가능, 흑임자오메기떡 한되(50알), 흑임자오메기떡 반되(25알), 크림오메기떡 반되(25알)"
218,218,218,노을해안1014,제주도%20노을해안1014,https://m.place.naver.com/restaurant/1905326757/menu/list,"전기바이크1인40분, 아메리카노, 카페라떼, 전기바이크2인40분, 전기바이크1인60분, 전기바이크100분1인승"
219,219,219,도두해녀의집,제주도%20도두해녀의집,https://m.place.naver.com/restaurant/13391363/menu/list,"전복죽, 물회 (특), 회덮밥, 한치덮밥, 성게비빔밥, 전복물회, 한치물회, 전복성게미역국, 성게미역국, 고등어양념구이, 전복회 대, 전복회 소"
220,220,220,돈이랑성산점,제주도%20돈이랑성산점,https://m.place.naver.com/restaurant/37157723/menu/list,"제주 흑돼지(600g 2인), 제주 흑돼지(900g 3인), 흑돼지 추가 300g, 보말칼국수(2인), 흑돼지 김치찌개, 열무냉국수(여름별미), 제주 흑돼지(1200g 4인), 어린이해물된징찌개, 해물된장찌개, 소면, 비빔국수"
221,221,221,리틀보라카이,제주도%20리틀보라카이,https://m.place.naver.com/restaurant/1947329475/menu/list,"전복게우크림파스타/리조또, 제주 돼지 수비드 스테이크, 딱새우 명란 크림 파스타/리조또, 하우스 수비드 스테이크, 수제 치즈 샐러드, 스테이크 샐러드, 생연어샐러드, 불고기 에그 베네딕트, 보코치니 토마토 파스타, 쉬림프 알리오올리오, 베이컨 알리오올리오, 크리스피 빠따, 시즐링 감바스, 갈릭 라이스, 생망고 슬라이스"
222,222,222,미르오메기떡,제주도%20미르오메기떡,https://m.place.naver.com/restaurant/13512790/menu/list,"미르오메기떡 혼합 50알, 미르오메기떡 혼합30알, 오메기떡(낱개), 팥오메기 50알, 팥오메기 30알, 귤 오메기 50알, 귤 오메기 30알, 견과류 오메기 50알, 견과류 오메기 30알, 흑임자오메기 50알, 흑임자오메기 30알, 콩가루오메기 50알, 콩가루오메기 30알"
223,223,223,산도롱맨도롱,제주도%20산도롱맨도롱,https://m.place.naver.com/restaurant/37053406/menu/list,"홍갈비국수/백갈비국수, 커플세트, 마약육전, 멜로돔베, 고기국수"
224,224,224,섬나라오메기,제주도%20섬나라오메기,https://m.place.naver.com/restaurant/33122246/menu/list,"개당(오메기떡), 개당(견과류), 개당(감귤), 30개, 50개, 60개, 개당(콩가루오쟁이떡), 개당(흑임자오쟁이떡), 개당(밥알찰떡)"
225,225,225,성산갈치맛집,제주도%20성산갈치맛집,https://m.place.naver.com/restaurant/1465526302/menu/list,"통갈치조림 (중), 통갈치구이, 통갈치조림(대), 통갈치구이 (대), 통갈치구이 (특대), 통갈치조림 2인세트, 통갈치조림 3인세트, 통갈치조림 4인세트, 통갈치구이 2인세트, 통갈치구이 3인세트, 통갈치구이 4인세트, 토막갈치조림 (중), 토막갈치조림 (대)"
226,226,226,성산스튜디오,제주도%20성산스튜디오,https://m.place.naver.com/restaurant/1323914842/menu/list,"흑백셀프_제주, 흑백셀프_해요, 전체촬영원본, 증명/여권사진"
227,227,227,쇠소깍빵명장,제주도%20쇠소깍빵명장,https://m.place.naver.com/restaurant/1238493751/menu/list,음료는 메뉴판을 참고해주세요
228,228,228,스시우도포차,제주도%20스시우도포차,https://m.place.naver.com/restaurant/1020649585/menu/list,"특 스시우도(16), 스시우도(12p), 참치대뱃살초밥(12p), 통한치해물짬뽕라면, 딱새우초밥(12p)"
229,229,229,신우성흑돼지,제주도%20신우성흑돼지,https://m.place.naver.com/restaurant/11607481/menu/list,"제주 흑돼지 오겹살 set, 제주 흑돼지모듬 set 중, 흑돼지 모듬세트 중, 제주 흑돼지 오겹살 중, 제주 흑돼지 모듬 set 대, 흑돼지 오겹살 대, 제주 흑돼지 오겹살 세트 대, 흑돼지 오겹살, 항정살 가브리살, 흑돼지 모듬세트 대, 갈비탕, 돌솥비빔밥, 불고기 돌솥비빔밥, 소양념갈비, 양념불고기"
230,230,230,아라파파북촌,제주도%20아라파파북촌,https://m.place.naver.com/restaurant/1528203196/menu/list,"아메리카노, 조각케이크"
231,231,231,애월당공항점,제주도%20애월당공항점,https://m.place.naver.com/restaurant/1778851136/menu/list,"현무암하카롱 5구, 프리미엄하카롱 5구, 애월돌크림빵, 땅콩돌크림빵, 딸기돌크림빵, 종합9구세트, 애월돌크림빵4구세트, 아메리카노, 카페라떼, 바닐라라떼, 한라봉차, 흑당 버블 밀크티, 흑당 버블 그린티, 흑당 우도땅콩 버블 밀크티, 리얼 초코 우유"
232,232,232,애월은혜전복,제주도%20애월은혜전복,https://m.place.naver.com/restaurant/38704266/menu/list,"전복돌솥밥, 전복뚝배기, 성게 품은 전복 물회, 전복죽, 전복구이, 전복찜, 전복해물라면"
233,233,233,엔츠노래타운,제주도%20엔츠노래타운,https://m.place.naver.com/restaurant/123699226/menu/list,노래방
234,234,234,제주기장횟집,제주도%20제주기장횟집,https://m.place.naver.com/restaurant/37557926/menu/list,"회포장 메뉴판 확인필수, 광어&참돔 2인회코스, 참돔&벵에돔 2인회코스, 참돔&돌돔(뺀찌) 2인스페샬회코스, 능성어(구문쟁이) 4인 스페샬코스, 능성어(구문쟁이) 4인 한상스페샬, 다금바리/ 돌돔, 포장메뉴 광어&참돔 2인, 포장메뉴 참돔 2인, 포장메뉴 참돔&벤자리돔 2인"
235,235,235,제주동백별장,제주도%20제주동백별장,https://m.place.naver.com/restaurant/1885942621/menu/list,"제주동백별장, 동백별장"
